Num_species,Replicate_number,Num_total_DAR,Num_cDAR,Num_uDAR
150,80,289,108,181
150,81,289,113,176
150,82,289,115,174
150,83,289,107,182
150,84,289,112,177
150,85,289,115,174
150,86,289,108,181
150,87,289,118,171
150,88,289,111,178
150,89,289,112,177
150,90,289,107,182
150,91,289,113,176
150,92,289,113,176
150,93,289,113,176
150,94,289,108,181
150,95,289,98,191
150,96,289,118,171
150,97,289,112,177
150,98,289,113,176
150,99,289,117,172
200,0,289,115,174
200,1,289,114,175
200,2,289,111,178
200,3,289,119,170
200,4,289,118,171
200,5,289,116,173
200,6,289,115,174
200,7,289,114,175
200,8,289,113,176
200,9,289,106,183
200,10,289,121,168
200,11,289,119,170
200,12,289,119,170
200,13,289,123,166
200,14,289,124,165
200,15,289,117,172
200,16,289,109,180
200,17,289,117,172
200,18,289,117,172
200,19,289,111,178
200,20,289,113,176
200,21,289,126,163
200,22,289,121,168
200,23,289,118,171
200,24,289,108,181
200,25,289,120,169
200,26,289,111,178
200,27,289,119,170
200,28,289,123,166
200,29,289,112,177
200,30,289,114,175
200,31,289,118,171
200,32,289,119,170
200,33,289,117,172
200,34,289,117,172
200,35,289,120,169
200,36,289,110,179
200,37,289,114,175
200,38,289,116,173
200,39,289,116,173
200,40,289,114,175
200,41,289,115,174
200,42,289,114,175
200,43,289,113,176
200,44,289,122,167
200,45,289,115,174
200,46,289,122,167
200,47,289,119,170
200,48,289,117,172
200,49,289,113,176
200,50,289,117,172
200,51,289,115,174
200,52,289,116,173
200,53,289,117,172
200,54,289,119,170
200,55,289,113,176
200,56,289,117,172
200,57,289,116,173
200,58,289,116,173
200,59,289,115,174
200,60,289,119,170
200,61,289,114,175
200,62,289,115,174
200,63,289,119,170
200,64,289,119,170
200,65,289,116,173
200,66,289,115,174
200,67,289,121,168
200,68,289,116,173
200,69,289,107,182
200,70,289,120,169
200,71,289,114,175
200,72,289,121,168
200,73,289,114,175
200,74,289,118,171
200,75,289,116,173
200,76,289,108,181
200,77,289,111,178
200,78,289,113,176
200,79,289,123,166
200,80,289,119,170
200,81,289,113,176
200,82,289,118,171
200,83,289,113,176
200,84,289,115,174
200,85,289,115,174
200,86,289,112,177
200,87,289,112,177
200,88,289,116,173
200,89,289,121,168
200,90,289,116,173
200,91,289,114,175
200,92,289,116,173
200,93,289,119,170
200,94,289,118,171
200,95,289,111,178
200,96,289,122,167
200,97,289,118,171
200,98,289,118,171
200,99,289,113,176
250,0,289,116,173
250,1,289,117,172
250,2,289,121,168
250,3,289,119,170
250,4,289,123,166
250,5,289,116,173
250,6,289,119,170
250,7,289,116,173
250,8,289,120,169
250,9,289,128,161
250,10,289,125,164
250,11,289,126,163
250,12,289,117,172
250,13,289,119,170
250,14,289,119,170
250,15,289,112,177
250,16,289,128,161
250,17,289,123,166
250,18,289,121,168
250,19,289,118,171
250,20,289,117,172
250,21,289,125,164
250,22,289,120,169
250,23,289,118,171
250,24,289,119,170
250,25,289,120,169
250,26,289,119,170
250,27,289,123,166
250,28,289,113,176
250,29,289,120,169
250,30,289,119,170
250,31,289,116,173
250,32,289,119,170
250,33,289,117,172
250,34,289,122,167
250,35,289,116,173
250,36,289,123,166
250,37,289,121,168
250,38,289,114,175
250,39,289,123,166
250,40,289,118,171
250,41,289,123,166
250,42,289,126,163
250,43,289,118,171
250,44,289,122,167
250,45,289,120,169
250,46,289,121,168
250,47,289,118,171
250,48,289,117,172
250,49,289,125,164
250,50,289,116,173
250,51,289,117,172
250,52,289,125,164
250,53,289,116,173
250,54,289,117,172
250,55,289,121,168
250,56,289,122,167
250,57,289,121,168
250,58,289,122,167
250,59,289,113,176
250,60,289,113,176
250,61,289,121,168
250,62,289,124,165
250,63,289,114,175
250,64,289,120,169
250,65,289,119,170
250,66,289,117,172
250,67,289,118,171
250,68,289,119,170
250,69,289,124,165
250,70,289,121,168
250,71,289,122,167
250,72,289,122,167
250,73,289,120,169
250,74,289,120,169
250,75,289,124,165
250,76,289,120,169
250,77,289,119,170
250,78,289,120,169
250,79,289,122,167
250,80,289,116,173
250,81,289,119,170
250,82,289,120,169
250,83,289,114,175
250,84,289,115,174
250,85,289,120,169
250,86,289,119,170
250,87,289,120,169
250,88,289,121,168
250,89,289,113,176
250,90,289,125,164
250,91,289,119,170
250,92,289,123,166
250,93,289,120,169
250,94,289,119,170
250,95,289,123,166
250,96,289,130,159
250,97,289,120,169
250,98,289,124,165
250,99,289,124,165
300,0,289,121,168
300,1,289,119,170
300,2,289,119,170
300,3,289,126,163
300,4,289,121,168
